,station_id,short_name,lat,lon,capacity,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_updated,temp_c,wind_kph,humidity,clouds
207,213,320,19.391323,-99.15936,19,4,0,15,0,2024-08-24 15:44:26,24.95,6.17,41,40
208,214,044,19.418141,-99.174709,27,0,0,27,0,2024-08-24 15:44:26,24.9,6.17,41,40
209,215,114,19.428989,-99.153618,23,0,1,22,0,2024-08-24 15:44:26,24.96,6.17,41,40
210,216,322,19.388456876549792,-99.16064277296753,27,6,1,20,0,2024-08-24 15:44:26,24.95,6.17,41,40
211,217,318,19.392195,-99.163987,23,2,0,21,0,2024-08-24 15:44:26,24.95,6.17,41,40
212,218,009,19.428184,-99.170013,19,2,1,16,0,2024-08-24 15:44:26,24.9,6.17,41,40
213,219,234,19.42786220267939,-99.1914046928423,27,0,0,27,0,2024-08-24 15:44:26,24.82,6.17,41,40
214,220,339,19.386212,-99.160583,23,1,0,22,0,2024-08-24 15:44:26,24.95,6.17,41,40
215,221,188,19.411711,-99.190139,19,1,0,18,0,2024-08-24 15:44:26,24.81,6.17,41,40
216,222,298,19.394092,-99.162139,19,5,0,14,0,2024-08-24 15:44:26,24.95,6.17,41,40
217,223,189,19.410046050731914,-99.18795973067971,19,0,0,19,0,2024-08-24 15:44:26,24.81,6.17,41,40
218,224,249,19.42988388240091,-99.1775936633894,15,1,0,14,0,2024-08-24 15:44:26,24.9,6.17,41,40
219,225,043,19.4351365,-99.1460756,31,27,0,4,0,2024-08-24 15:44:26,24.96,6.17,41,40
220,226,469,19.434183,-99.173089,27,4,0,23,0,2024-08-24 15:44:26,24.9,6.17,41,40
221,227,472,19.437667,-99.17711,23,1,0,22,0,2024-08-24 15:44:26,24.9,6.17,41,40
222,228,048,19.433705,-99.146665,11,11,0,0,0,2024-08-24 15:44:26,24.96,6.17,41,40
223,229,181,19.404825166337652,-99.17472235863897,27,3,0,24,0,2024-08-24 15:44:26,24.87,6.17,41,40
224,230,246,19.434147,-99.179835,15,4,1,10,0,2024-08-24 15:44:26,24.9,6.17,41,40
225,231,479,19.444433,-99.179664,25,16,0,9,0,2024-08-24 15:44:26,24.9,6.17,41,40
226,232,281,19.398532,-99.157308,31,2,0,29,0,2024-08-24 15:44:26,24.97,6.17,41,40
227,233,480,19.446073,-99.181654,19,11,2,6,0,2024-08-24 15:44:26,24.9,6.17,41,40
228,234,041,19.43542,-99.150317,33,3,2,28,0,2024-08-24 15:44:26,24.96,6.17,41,40
229,235,226,19.431044265870334,-99.18220639234278,27,4,1,22,0,2024-08-24 15:44:26,24.9,6.17,41,40
230,236,468,19.437250121513653,-99.1795731336424,33,4,0,29,0,2024-08-24 15:44:26,24.9,6.17,41,40
231,237,256,19.437128,-99.158363,23,3,1,19,0,2024-08-24 15:44:26,24.95,6.17,41,40
232,238,119,19.4268522887659,-99.1556279361248,29,8,0,21,0,2024-08-24 15:44:26,24.95,6.17,41,40
233,239,475,19.439249,-99.181065,23,1,0,22,0,2024-08-24 15:44:26,24.9,6.17,41,40
234,240,010,19.433431,-99.155142,27,0,4,23,0,2024-08-24 15:44:26,24.95,6.17,41,40
235,241,450,19.43832573320297,-99.15223784747468,31,6,1,24,0,2024-08-24 15:44:26,24.96,6.17,41,40
236,242,555,19.44021597,-99.1561678,35,8,1,26,0,2024-08-24 15:44:26,24.95,6.17,41,40
237,243,270,19.436764,-99.153865,33,16,1,16,0,2024-08-24 15:44:26,24.96,6.17,41,40
238,244,248,19.43175,-99.177399,23,1,1,21,0,2024-08-24 15:44:26,24.9,6.17,41,40
239,245,476,19.442127,-99.184433,35,2,0,33,0,2024-08-24 15:44:26,24.9,6.17,41,40
240,246,174,19.441133258345886,-99.16170336308824,31,18,0,13,0,2024-08-24 15:44:26,24.95,6.17,41,40
241,247,237-238,19.426744,-99.193986,63,0,1,61,1,2024-08-24 15:44:26,24.82,6.17,41,40
242,249,124,19.422392,-99.150358,35,0,0,35,0,2024-08-24 15:44:26,24.96,6.17,41,40
243,250,082,19.433344,-99.14404,11,10,1,0,0,2024-08-24 15:44:26,24.97,6.17,41,40
244,251,262,19.436931,-99.133952,31,8,1,22,0,2024-08-24 15:44:26,24.94,6.17,41,40
245,252,235-236,19.429332,-99.202181,55,1,0,54,0,2024-08-24 15:44:26,24.73,6.17,41,40
246,253,104,19.427059,-99.137116,11,9,2,0,0,2024-08-24 15:44:26,24.97,6.17,41,40
247,254,136,19.417715,-99.162729,23,21,1,1,0,2024-08-24 15:44:26,24.95,6.17,41,40
248,255,183,19.437665,-99.164018,35,1,1,33,0,2024-08-24 15:44:26,24.95,6.17,41,40
249,256,095,19.430682555945197,-99.1337009892004,19,19,0,0,0,2024-08-24 15:44:26,24.96,6.17,41,40
250,257,036,19.41966,-99.17588,31,2,1,28,0,2024-08-24 15:44:26,24.93,6.17,41,40
251,258,063,19.413091238892452,-99.1716201604504,35,1,0,34,0,2024-08-24 15:44:26,24.93,6.17,41,40
252,259,087,19.432024,-99.139705,25,11,0,14,0,2024-08-24 15:44:26,24.97,6.17,41,40
253,260,020,19.43086152710901,-99.16025899353372,23,5,1,17,0,2024-08-24 15:44:26,24.95,6.17,41,40
254,261,015,19.425597,-99.171409,23,18,0,5,0,2024-08-24 15:44:26,24.9,6.17,41,40
255,262,075,19.408740687234836,-99.17677424853537,33,6,1,26,0,2024-08-24 15:44:26,24.9,6.17,41,40
256,263,017,19.427553,-99.167396,27,23,2,2,0,2024-08-24 15:44:26,24.9,6.17,41,40
257,264,080,19.407239898913133,-99.17207747708744,35,1,1,33,0,2024-08-24 15:44:26,24.93,6.17,41,40
258,265,023,19.42528,-99.171099,36,15,0,21,0,2024-08-24 15:44:26,24.9,6.17,41,40
259,266,085,19.434059327049166,-99.16243817658597,15,9,1,5,0,2024-08-24 15:44:26,24.95,6.17,41,40
260,267,014,19.42454,-99.173247,39,34,1,4,0,2024-08-24 15:44:26,24.9,6.17,41,40
261,268,135,19.419250969141167,-99.15503863246612,38,8,1,29,0,2024-08-24 15:44:26,24.95,6.17,41,40
262,269,089,19.434962,-99.133729,11,6,0,5,0,2024-08-24 15:44:26,24.96,6.17,41,40
263,270,133,19.421138,-99.154725,35,30,1,4,0,2024-08-24 15:44:26,24.96,6.17,41,40
264,271,141,19.415905,-99.15954,31,31,0,0,0,2024-08-24 15:44:26,24.95,6.17,41,40
265,272,092,19.436531,-99.131497,23,8,0,15,0,2024-08-24 15:44:26,24.94,6.17,41,40
266,273,470,19.435039,-99.173879,23,6,1,16,0,2024-08-24 15:44:26,24.94,6.17,41,40
267,275,239,19.430153,-99.181355,19,4,0,15,0,2024-08-24 15:44:26,24.9,6.17,41,40
268,276,656,19.3543111,-99.1624361,35,19,1,15,0,2024-08-24 15:44:26,24.88,6.17,41,40
269,277,305,19.394693,-99.175531,31,19,0,12,0,2024-08-24 15:44:26,24.81,6.17,41,40
270,278,121,19.42413685832429,-99.16131634266549,15,14,1,0,0,2024-08-24 15:44:26,24.95,6.17,41,40
271,279,027,19.42916,-99.162703,43,30,2,11,0,2024-08-24 15:44:26,24.95,6.17,41,40
